Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Smallest Bandwidth [Kbps]
20;NOT USED;14.05;2239815;0.71;1.45;7.87;TRUE;0.17;0.12;0.14;7.16;6.74;6.80;7.28;6.86;6.94;2698
20;NOT USED;20.64;4293938;0.71;1.05;1.73;TRUE;0.17;0.12;0.14;12.95;12.87;12.91;13.12;12.99;13.05;2698
20;NOT USED;33.55;8869498;0.71;0.90;1.62;TRUE;0.16;0.11;0.14;26.61;26.53;26.57;26.77;26.65;26.71;2698
20;NOT USED;55.28;15890720;0.71;0.84;1.62;TRUE;0.16;0.12;0.13;47.58;47.49;47.53;47.74;47.62;47.67;2698
20;NOT USED;103.06;32095088;0.71;0.83;2.38;TRUE;0.16;0.12;0.14;97.43;95.88;96.00;97.56;96.01;96.14;2698
20;NOT USED;207.66;67108864;0.71;0.78;1.62;TRUE;0.16;0.11;0.14;200.93;200.43;200.49;201.05;200.56;200.63;2698
20;NOT USED;408.13;134217728;0.71;0.77;1.62;TRUE;0.16;0.11;0.13;400.92;400.81;400.85;401.06;400.93;400.99;2698
20;NOT USED;14.14;2239815;0.71;1.31;2.69;TRUE;0.16;0.12;0.14;6.82;6.73;6.77;6.98;6.86;6.91;2698
20;NOT USED;20.22;4293938;0.71;1.05;1.72;TRUE;0.18;0.12;0.14;12.95;12.87;12.91;13.11;12.99;13.05;2698
20;NOT USED;33.91;8869498;0.71;0.94;2.98;TRUE;0.16;0.12;0.14;27.08;26.53;26.60;27.20;26.65;26.74;2698
20;NOT USED;56.12;15890720;0.71;0.87;2.42;TRUE;0.17;0.12;0.14;48.26;47.50;47.57;48.40;47.62;47.71;2698
20;NOT USED;103.32;32095088;0.71;0.80;1.63;TRUE;0.16;0.12;0.14;95.96;95.88;95.92;96.11;96.01;96.06;2698
20;NOT USED;207.46;67108864;0.71;0.78;1.63;TRUE;0.16;0.12;0.14;200.51;200.42;200.47;200.67;200.54;200.61;2698
20;NOT USED;408.25;134217728;0.71;0.77;1.63;TRUE;0.17;0.12;0.13;400.94;400.80;400.85;401.09;400.92;400.99;2698
20;USED;15.34;2239815;3.46;12.95;51.38;TRUE;9.35;0.12;4.11;3.51;0.81;2.36;10.79;3.55;6.47;5396
20;USED;19.30;4293938;2.16;7.33;27.64;TRUE;12.43;0.12;5.04;6.59;1.32;4.38;14.95;6.62;9.42;5396
20;USED;27.91;8869498;1.39;3.82;12.72;TRUE;21.60;0.12;8.71;13.41;2.41;8.88;24.02;13.45;17.59;5396
20;USED;41.23;15890720;1.10;2.46;7.96;TRUE;27.73;0.12;12.84;23.89;4.15;15.79;34.41;23.94;28.63;5396
20;USED;74.80;32095088;0.88;1.57;4.27;TRUE;52.26;0.12;25.24;48.09;8.09;31.73;71.43;48.13;56.98;5396
20;USED;152.20;67108864;0.79;1.12;2.42;TRUE;107.68;0.12;52.49;100.35;16.62;66.17;147.97;100.40;118.67;5396
20;USED;289.03;134217728;0.74;0.90;1.55;TRUE;207.97;0.11;102.24;200.55;32.97;132.19;285.20;200.60;234.44;5396
20;USED;14.51;2239815;0.70;5.87;51.01;TRUE;9.35;0.11;3.04;3.51;0.81;2.36;10.80;3.55;5.41;5396
20;USED;18.87;4293938;0.70;3.27;27.07;TRUE;12.43;0.12;5.64;6.59;1.31;4.38;15.20;6.62;10.03;5396
20;USED;28.52;8869498;0.70;1.99;13.93;TRUE;18.58;0.12;8.71;13.41;2.44;8.88;24.13;13.45;17.59;5396
