Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
5;NOT USED;8.39;2239815;0.70;1.75;7.22;TRUE;0.14;0.13;0.13;5.56;3.14;3.64;5.71;3.28;3.78;0.54;0.34;0.39;1.88;1.57;1.75;3302
5;NOT USED;8.30;2239815;2.15;4.48;5.69;TRUE;0.12;0.11;0.11;5.54;3.14;3.63;5.66;3.26;3.75;4.63;1.38;2.66;2.21;1.57;1.95;3302
5;NOT USED;8.60;2239815;5.29;12.91;19.06;TRUE;0.12;0.10;0.11;5.82;3.16;3.91;5.95;3.27;4.03;6.15;3.24;4.22;2.05;1.57;1.92;3302
5;USED;10.06;2239815;2.61;9.27;20.81;TRUE;6.18;0.13;1.34;5.56;0.83;2.73;7.01;2.53;4.08;0.54;0.29;0.35;2.39;1.57;2.03;3302
5;USED;9.70;2239815;2.15;9.12;22.70;TRUE;6.16;0.10;1.31;5.54;0.84;2.72;7.00;2.50;4.04;5.05;2.46;3.57;2.52;1.57;2.08;3302
5;NOT USED;13.96;4293938;0.70;1.22;3.05;TRUE;0.14;0.13;0.14;10.58;5.92;6.86;10.71;6.06;7.00;0.54;0.34;0.39;2.05;1.57;1.82;3302
5;NOT USED;13.41;4293938;1.51;2.76;3.31;TRUE;0.12;0.12;0.12;10.56;5.93;6.86;10.68;6.05;6.98;6.14;0.95;2.80;2.38;1.57;2.05;3302
5;NOT USED;12.96;4293938;1.76;3.02;4.56;TRUE;0.13;0.11;0.12;10.58;5.92;6.88;10.72;6.04;7.00;4.51;2.95;3.66;2.38;1.57;1.99;3302
5;NOT USED;13.31;4293938;1.84;3.14;4.23;TRUE;0.12;0.11;0.12;10.59;5.93;6.88;10.71;6.05;7.00;6.25;2.65;4.47;2.38;1.88;2.01;3302
5;NOT USED;13.96;4293938;0.70;1.22;3.05;TRUE;0.14;0.13;0.14;10.58;5.92;6.86;10.71;6.06;7.00;0.54;0.34;0.39;2.05;1.57;1.82;3302
